no.;longitude;latitude
2188;-72.86829;3.7579505
2189;-72.82463;3.647213
2190;-72.78098;3.5364687
2191;-72.73735;3.4257205
2192;-72.693726;3.3149774
2193;-72.6501;3.2042341
2194;-72.60649;3.0934854
2195;-72.562904;2.982725
2196;-72.519325;2.8719602
2197;-72.47575;2.761198
2198;-72.43219;2.6504347
2199;-72.38864;2.5396698
2200;-72.34509;2.4289017
2201;-72.30156;2.3181396
2202;-72.258026;2.2073689
2203;-72.2145;2.0965953
2204;-72.17099;1.9858187
2205;-72.12748;1.8750398
2206;-72.083984;1.7642558
2207;-72.0405;1.6534702
2208;-71.99701;1.5426872
2209;-71.95353;1.4319031
2210;-71.91005;1.3211181
2211;-71.86658;1.2103249
2212;-71.823105;1.099529
2213;-71.77963;0.98873645
2214;-71.736176;0.87795126
2215;-71.69272;0.7671652
2216;-71.649254;0.6563712
2217;-71.6058;0.5455685
2218;-71.56234;0.43477064
2219;-71.51889;0.32397923
2220;-71.47543;0.21318565
2221;-71.431984;0.102393836
2222;-71.388535;-0.008401235
2223;-71.345085;-0.11919354
2224;-71.301636;-0.22998711
2225;-71.25819;-0.34077904
2226;-71.21474;-0.451573
2227;-71.17128;-0.56236273
2228;-71.127815;-0.67315245
2229;-71.08436;-0.783943
2230;-71.0409;-0.8947426
2231;-70.997444;-1.0055431
2232;-70.95398;-1.1163305
2233;-70.91051;-1.2271132
2234;-70.867035;-1.3378987
2235;-70.823555;-1.448685
2236;-70.78007;-1.55947
2237;-70.73657;-1.6702552
2238;-70.69308;-1.7810371
2239;-70.649574;-1.891819
2240;-70.606064;-2.002598
2241;-70.56255;-2.1133754
2242;-70.51903;-2.2241547
2243;-70.475494;-2.3349273
2244;-70.43195;-2.4456975
2245;-70.388405;-2.5564663
2246;-70.34486;-2.6672306
2247;-70.3013;-2.7779913
2248;-70.25772;-2.8887556
2249;-70.214134;-2.9995174
2250;-70.17053;-3.1102753
2251;-70.12693;-3.2210348
2252;-70.08331;-3.3317919
2253;-70.03969;-3.442543
2254;-69.99605;-3.5532894
2255;-69.9524;-3.6640353
2256;-69.90873;-3.774772
2257;-69.865036;-3.885505
2258;-69.82134;-3.9962337
2259;-69.77764;-4.106967
2260;-69.73394;-4.2176976
2261;-69.69021;-4.32842
2262;-69.646454;-4.439135
2263;-69.60268;-4.5498457
2264;-69.5589;-4.6605563
2265;-69.515114;-4.7712593
2266;-69.471306;-4.8819604
2267;-69.427475;-4.9926596
2268;-69.38363;-5.1033554
2269;-69.33977;-5.214044
2270;-69.295876;-5.3247304
2271;-69.25197;-5.435412
2272;-69.20805;-5.5460873
2273;-69.164116;-5.656763
2274;-69.12016;-5.7674294
2275;-69.07618;-5.878082
2276;-69.03219;-5.9887233
2277;-68.98817;-6.099369
2278;-68.94412;-6.2100153
2279;-68.900055;-6.3206577
2280;-68.85597;-6.4312854
2281;-68.811874;-6.541903
2282;-68.767746;-6.6525187
2283;-68.72359;-6.763132
2284;-68.6794;-6.8737426
2285;-68.6352;-6.984344
2286;-68.59099;-7.094943
2287;-68.54675;-7.2055364
2288;-68.50247;-7.316117
2289;-68.45816;-7.426686
2290;-68.413826;-7.537252
2291;-68.36948;-7.6478148
2292;-68.3251;-7.7583714
2293;-68.28069;-7.8689218
2294;-68.23626;-7.979461
2295;-68.1918;-8.089996
2296;-68.147316;-8.200522
2297;-68.102806;-8.311047
2298;-68.05826;-8.42156
2299;-68.01368;-8.532061
2300;-67.96907;-8.642552
2301;-67.92443;-8.753038
2302;-67.87976;-8.863516
2303;-67.83505;-8.973986
2304;-67.79032;-9.084451
2305;-67.74556;-9.194907
2306;-67.70077;-9.305356
2307;-67.65593;-9.415785
2308;-67.61105;-9.526203
2309;-67.56616;-9.636622
2310;-67.52125;-9.747043
