DATE,IPG3273S
2002-04-01,147.7941
2002-05-01,148.3750
2002-06-01,149.7181
2002-07-01,151.2009
2002-08-01,149.4920
2002-09-01,152.6170
2002-10-01,150.1713
2002-11-01,149.0499
2002-12-01,147.7935
2003-01-01,150.2304
2003-02-01,147.3537
2003-03-01,150.0768
2003-04-01,149.2956
2003-05-01,154.2180
2003-06-01,153.8191
2003-07-01,154.6049
2003-08-01,155.7700
2003-09-01,154.0289
2003-10-01,155.9658
2003-11-01,156.3027
2003-12-01,153.4924
2004-01-01,154.7622
2004-02-01,152.4776
2004-03-01,158.5624
2004-04-01,158.2809
2004-05-01,157.3671
2004-06-01,154.9786
2004-07-01,157.2796
2004-08-01,158.4654
2004-09-01,158.8337
2004-10-01,156.5699
2004-11-01,154.9476
2004-12-01,163.5621
2005-01-01,161.5171
2005-02-01,164.0058
2005-03-01,160.4582
2005-04-01,162.4767
2005-05-01,162.9194
2005-06-01,164.8057
2005-07-01,160.3918
2005-08-01,161.1507
2005-09-01,164.2001
2005-10-01,168.9484
2005-11-01,176.5608
2005-12-01,172.4066
2006-01-01,181.7252
2006-02-01,178.8447
2006-03-01,174.4345
2006-04-01,173.2525
2006-05-01,166.8696
2006-06-01,166.5528
2006-07-01,165.1175
2006-08-01,166.0598
2006-09-01,163.3915
2006-10-01,161.9940
2006-11-01,165.3976
2006-12-01,178.3906
2007-01-01,174.7867
2007-02-01,166.6807
2007-03-01,172.7142
2007-04-01,169.2164
2007-05-01,170.7159
2007-06-01,171.6648
2007-07-01,170.0133
2007-08-01,170.6478
2007-09-01,168.8434
2007-10-01,166.4438
2007-11-01,167.7601
2007-12-01,155.3479
2008-01-01,161.2173
2008-02-01,156.0581
2008-03-01,156.7380
2008-04-01,149.5663
2008-05-01,145.1928
2008-06-01,141.8064
2008-07-01,139.5960
2008-08-01,134.3725
2008-09-01,130.6727
2008-10-01,126.8175
2008-11-01,119.4542
2008-12-01,116.5632
2009-01-01,108.3515
2009-02-01,106.8791
2009-03-01,100.4158
2009-04-01,98.7777
2009-05-01,96.3417
2009-06-01,95.9262
2009-07-01,97.2136
2009-08-01,96.9557
2009-09-01,94.9429
2009-10-01,88.8514
2009-11-01,96.7984
2009-12-01,88.0563
2010-01-01,91.7493
2010-02-01,89.4757
2010-03-01,91.8994
2010-04-01,98.3724
2010-05-01,96.0708
2010-06-01,96.7121
2010-07-01,97.4586
2010-08-01,97.0625
2010-09-01,97.3264
2010-10-01,99.1525
2010-11-01,100.0053
2010-12-01,93.3899
2011-01-01,89.2878
2011-02-01,91.0965
2011-03-01,92.6778
2011-04-01,92.7725
2011-05-01,95.9486
2011-06-01,95.5347
2011-07-01,97.7824
2011-08-01,98.5095
2011-09-01,97.7627
2011-10-01,97.3890
2011-11-01,97.1514
2011-12-01,97.1101
2012-01-01,98.8622
2012-02-01,101.5846
2012-03-01,100.8449
2012-04-01,102.6263
2012-05-01,99.1820
2012-06-01,100.3936
2012-07-01,99.0327
2012-08-01,97.9764
2012-09-01,98.5611
2012-10-01,99.0691
2012-11-01,100.0543
2012-12-01,101.8128
2013-01-01,102.2446
2013-02-01,103.4909
2013-03-01,105.1376
2013-04-01,101.9264
2013-05-01,104.7530
2013-06-01,103.8290
2013-07-01,103.4001
2013-08-01,105.7725
2013-09-01,107.6202
2013-10-01,107.0300
2013-11-01,108.6343
2013-12-01,102.9132
2014-01-01,105.3622
2014-02-01,105.1383
2014-03-01,106.8875
2014-04-01,106.5995
2014-05-01,109.3608
2014-06-01,111.2602
2014-07-01,114.9255
2014-08-01,114.6431
2014-09-01,114.9585
2014-10-01,113.8325
2014-11-01,113.3732
2014-12-01,114.5271
2015-01-01,115.7259
2015-02-01,112.8247
2015-03-01,111.4254
