,AGS,longitude,latitude
180,08436,"9,508511","47,969713"
181,08437,"9,380955","47,953822"
182,09372,"12,763938","49,261695"
183,09373,"11,444396","49,104465"
184,07340,"7,856817","49,063515"
185,08111,"9,177734","48,775817"
186,08115,"9,009663","48,685296"
187,08116,"9,31755","48,694154"
188,08117,"9,931883","48,684616"
189,08118,"9,135236","48,905309"
190,08119,"9,718908","48,843821"
191,08121,"9,217953","49,140428"
192,08125,"9,163305","49,228198"
193,08126,"9,440237","49,177232"
194,08127,"9,974402","49,297785"
195,08128,"10,032709","49,470427"
196,08135,"10,364184","48,696067"
197,08211,"8,239951","48,761794"
198,08212,"8,405282","49,009626"
199,08216,"8,190926","48,683772"
200,08221,"8,702067","49,408826"
201,08222,"8,466275","49,48778"
202,08225,"9,323179","49,521795"
203,08226,"8,534338","49,395199"
204,08231,"8,699166","48,891285"
205,08235,"8,645825","48,78717"
206,08236,"8,636435","48,870121"
207,08237,"8,402938","48,345111"
208,08311,"7,849877","47,994786"
209,08315,"8,201128","47,868195"
210,08316,"7,883854","48,066785"
211,08317,"7,978133","48,537224"
212,08325,"8,510397","48,350916"
213,08326,"8,530554","48,022026"
214,08327,"8,926748","48,072882"
215,08335,"8,777866","47,765627"
216,08336,"7,565548","47,649597"
217,08337,"8,130079","47,591149"
218,08416,"9,100748","48,607603"
219,08417,"9,1153","48,28913"
220,08421,"9,990402","48,398454"
221,08425,"9,892784","48,326196"
222,08426,"9,789396","48,174914"
223,08435,"9,562678","47,700637"
224,09161,"11,423387","48,76542"
225,09162,"11,573599","48,143439"
226,09163,"12,128932","47,856358"
227,09171,"12,67892","48,227986"
228,09172,"12,943264","47,816451"
229,09173,"11,462626","47,746023"
230,09174,"11,256047","48,387627"
231,09175,"11,853441","48,151444"
232,09176,"11,648267","48,897937"
233,09177,"11,986998","48,314723"
234,09178,"11,737675","48,559014"
235,09179,"11,299015","48,141556"
236,09180,"11,051047","47,66653"
237,09181,"10,849611","47,913826"
238,09182,"11,725573","47,712577"
239,09183,"12,418033","48,25513"
240,09184,"11,71681","48,171014"
241,09185,"11,297536","48,531075"
242,09186,"11,471405","48,671064"
243,09187,"12,308485","47,990939"
244,09188,"11,356187","47,966594"
245,09189,"12,534485","48,000956"
246,09190,"11,292575","47,867336"
247,09261,"12,15892","48,538623"
248,09262,"13,420113","48,569343"
249,09263,"12,572499","48,875878"
250,09271,"12,910863","48,736468"
251,09272,"13,54759","48,808968"
252,09273,"11,848622","48,81553"
253,09274,"12,263172","48,546186"
254,09275,"13,291981","48,674871"
255,09276,"12,99795","49,128784"
256,09277,"12,8175","48,561081"
257,09278,"12,689145","48,909881"
258,09279,"12,500422","48,62752"
259,09361,"11,855879","49,442448"
260,09362,"12,097392","49,017834"
261,09363,"12,160209","49,676076"
262,09371,"11,759473","49,439533"
263,09374,"12,159855","49,723289"
264,09375,"12,197586","49,003328"
265,09376,"12,304076","49,270013"
266,09377,"12,429932","49,809434"
267,09461,"10,886786","49,893387"
268,09462,"11,571349","49,945574"
269,09463,"10,964232","50,258421"
270,09464,"11,913545","50,316521"
271,09471,"11,010627","49,797254"
272,09472,"11,401762","49,833646"
273,09473,"10,952243","50,236693"
274,09474,"11,057667","49,770474"
275,09475,"11,644155","50,366215"
276,09476,"11,325279","50,239015"
277,09477,"11,595132","50,062556"
278,09478,"11,249572","50,124993"
279,09479,"12,185347","50,057171"
280,09561,"10,57193","49,302592"
281,09562,"11,003274","49,59508"
282,09563,"10,989974","49,477384"
283,09564,"11,075269","49,450938"
284,09565,"11,020832","49,329561"
285,09571,"10,616965","49,144292"
286,09677,"9,614814","50,193443"
287,09771,"10,98699","48,295828"
288,13076,"11,192521","53,432045"
289,14522,"13,228813","50,799832"
290,14523,"12,220922","50,471616"
291,14524,"12,637568","50,845071"
292,09572,"10,892848","49,714781"
293,09573,"10,853041","49,421097"
294,09574,"11,354924","49,385516"
295,09575,"10,4192","49,502758"
296,09576,"10,963543","49,241445"
297,09577,"10,71106","49,155246"
298,09661,"9,147832","49,973506"
299,09662,"10,233723","50,046685"
300,09663,"9,93725","49,79393"
301,09671,"9,071865","50,08681"
302,09672,"10,080311","50,265699"
303,09673,"10,216904","50,322861"
304,09674,"10,664635","49,971589"
305,09675,"10,160342","49,801715"
306,09676,"9,21813","49,644565"
307,09678,"10,180496","50,006556"
308,09679,"9,829509","49,759499"
