Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual 
RUSSIAN FEDERATION (ASIA);ILIRNEJ;25248;1961-1990;Mean Monthly Value;mm;19.6;10.8;7.3;7.8;7.7;25.4;46.5;40.1;18.3;14.0;21.3;17.3;236.1
RUSSIAN FEDERATION (ASIA);UST-OLOJ;25325;1961-1990;Mean Monthly Value;mm;21.1;12.6;7.1;9.3;13.1;28.5;51.2;41.0;22.0;19.7;22.1;16.7;264.4
RUSSIAN FEDERATION (ASIA);CAPE UELEN;25399;1961-1990;Mean Monthly Value;mm;40.3;24.3;23.6;25.2;21.0;24.2;40.7;60.5;59.2;51.5;43.8;28.6;442.9
RUSSIAN FEDERATION (ASIA);ZYRJANKA;25400;1961-1990;Mean Monthly Value;mm;21.6;14.7;9.6;7.4;11.6;29.3;47.3;37.4;27.5;20.6;21.4;17.6;266.0
RUSSIAN FEDERATION (ASIA);MARKOVO;25551;1961-1990;Mean Monthly Value;mm;34.6;23.0;19.0;20.5;18.0;31.2;54.1;60.7;36.9;35.1;42.5;32.0;407.6
RUSSIAN FEDERATION (ASIA);ANADYR';25563;1961-1990;Mean Monthly Value;mm;43.5;28.7;21.5;17.0;11.9;23.6;39.3;41.8;27.0;21.3;27.4;40.6;343.6
RUSSIAN FEDERATION (ASIA);PROVIDENJA BAY;25594;1961-1990;Mean Monthly Value;mm;83.4;46.9;48.2;43.9;44.7;36.2;62.1;79.5;79.7;81.6;104.3;75.2;785.7
RUSSIAN FEDERATION (ASIA);SEJMCAN;25703;1961-1990;Mean Monthly Value;mm;29.8;22.1;12.3;9.2;15.3;31.7;45.4;41.8;27.7;22.3;28.1;25.1;310.8
RUSSIAN FEDERATION (ASIA);KAMENSKOE;25744;1961-1990;Mean Monthly Value;mm;41.2;40.2;26.4;22.8;18.0;31.2;54.9;60.1;45.9;30.2;35.5;38.2;444.6
RUSSIAN FEDERATION (ASIA);MAGADAN;25913;1961-1990;Mean Monthly Value;mm;14.1;13.7;10.9;28.3;46.3;52.6;68.5;72.4;80.7;73.6;44.9;26.8;532.8
RUSSIAN FEDERATION (ASIA);KORF;25954;1961-1990;Mean Monthly Value;mm;30.6;24.8;20.7;20.4;23.2;31.1;56.5;60.7;49.4;49.7;45.4;30.8;443.3
RUSSIAN FEDERATION (ASIA);LEVSI;28064;1961-1990;Mean Monthly Value;mm;23.5;16.8;17.5;27.4;35.4;62.5;74.8;68.2;57.1;39.0;35.1;23.3;480.6
RUSSIAN FEDERATION (ASIA);BISER;28138;1961-1990;Mean Monthly Value;mm;53.6;37.5;42.9;55.5;59.5;85.7;103.9;100.9;87.1;81.1;75.2;63.9;846.8
RUSSIAN FEDERATION (ASIA);PERM;28225;1961-1990;Mean Monthly Value;mm;40.0;27.2;28.0;36.7;54.2;69.0;75.4;68.4;69.1;60.4;49.7;41.4;619.5
RUSSIAN FEDERATION (ASIA);TOBOLSK;28275;1961-1990;Mean Monthly Value;mm;21.3;14.5;15.0;26.2;44.9;58.3;73.1;71.6;46.9;41.6;35.9;23.8;473.1
RUSSIAN FEDERATION (ASIA);KRASNOUFIMSK;28434;1961-1990;Mean Monthly Value;mm;31.0;22.4;20.0;34.1;41.8;68.3;78.7;63.0;60.7;51.2;43.6;34.3;549.1
RUSSIAN FEDERATION (ASIA);SVERDLOVSK;28440;1961-1990;Mean Monthly Value;mm;22.8;19.4;15.9;27.9;43.8;74.2;80.7;66.2;52.8;39.6;30.9;23.1;497.3
RUSSIAN FEDERATION (ASIA);TARA;28493;1961-1990;Mean Monthly Value;mm;19.3;11.9;15.0;24.1;42.1;61.0;66.0;65.6;41.5;37.5;29.6;25.9;439.5
RUSSIAN FEDERATION (ASIA);SADRINSK;28552;1961-1990;Mean Monthly Value;mm;23.5;17.3;14.7;24.2;35.8;57.7;72.1;52.5;42.0;36.3;28.5;24.0;428.6
RUSSIAN FEDERATION (ASIA);KURGAN;28661;1961-1990;Mean Monthly Value;mm;24.0;13.0;14.2;23.0;33.1;55.4;55.1;54.1;37.0;32.8;27.2;19.5;388.4
